date,operator,shape_uuid,shape_name,average_total_count,average_available_count,average_on_trip_count,average_non_operational_count,average_reserved_count,average_unknown_count
2022-08-01,bird,9c7539a9-80df-4ee3-9128-98d560c5269a,Access Zone,96.35,95,0.7,0.62,0,0.02
2022-08-01,bird,NOT_IN_SHAPE,NOT_IN_SHAPE,0,0,0,0,0,0
2022-08-01,bird,aa7d5aa5-608c-4eec-b4de-20e76b931fad,High Utilization Zone,629.98,620.34,5.7,1.07,0,2.87
2022-08-01,bird,bd251c37-ecc5-4cf4-bc14-421bf18159f5,Rest of Indianapolis,259.12,256.44,1.28,1.07,0,0.33
2022-08-01,lime,9c7539a9-80df-4ee3-9128-98d560c5269a,Access Zone,79.76,67.25,0.85,11.4,0.26,0
2022-08-01,lime,NOT_IN_SHAPE,NOT_IN_SHAPE,0,0,0,0,0,0
2022-08-01,lime,aa7d5aa5-608c-4eec-b4de-20e76b931fad,High Utilization Zone,327.77,301.19,6.96,12.38,7.25,0
2022-08-01,lime,bd251c37-ecc5-4cf4-bc14-421bf18159f5,Rest of Indianapolis,313.95,273.17,3.3,33.92,3.55,0
2022-08-01,veoride,9c7539a9-80df-4ee3-9128-98d560c5269a,Access Zone,0,0,0,0,0,0
2022-08-01,veoride,NOT_IN_SHAPE,NOT_IN_SHAPE,0,0,0,0,0,0
2022-08-01,veoride,aa7d5aa5-608c-4eec-b4de-20e76b931fad,High Utilization Zone,0,0,0,0,0,0
2022-08-01,veoride,bd251c37-ecc5-4cf4-bc14-421bf18159f5,Rest of Indianapolis,0,0,0,0,0,0
2022-08-02,bird,9c7539a9-80df-4ee3-9128-98d560c5269a,Access Zone,105.59,103.91,0.38,0.21,0,1.1
2022-08-02,bird,NOT_IN_SHAPE,NOT_IN_SHAPE,0,0,0,0,0,0
2022-08-02,bird,aa7d5aa5-608c-4eec-b4de-20e76b931fad,High Utilization Zone,644.51,630.46,6.61,4.84,0,2.6
2022-08-02,bird,bd251c37-ecc5-4cf4-bc14-421bf18159f5,Rest of Indianapolis,337.52,334.13,2.27,0.98,0,0.13
2022-08-02,lime,9c7539a9-80df-4ee3-9128-98d560c5269a,Access Zone,74.1,63.35,0.54,9.73,0.48,0
2022-08-02,lime,NOT_IN_SHAPE,NOT_IN_SHAPE,0,0,0,0,0,0
2022-08-02,lime,aa7d5aa5-608c-4eec-b4de-20e76b931fad,High Utilization Zone,361.45,339.6,6.09,11.09,4.67,0
2022-08-02,lime,bd251c37-ecc5-4cf4-bc14-421bf18159f5,Rest of Indianapolis,302.83,269.28,2.98,27.62,2.95,0
2022-08-02,veoride,9c7539a9-80df-4ee3-9128-98d560c5269a,Access Zone,0,0,0,0,0,0
2022-08-02,veoride,NOT_IN_SHAPE,NOT_IN_SHAPE,0,0,0,0,0,0
2022-08-02,veoride,aa7d5aa5-608c-4eec-b4de-20e76b931fad,High Utilization Zone,0,0,0,0,0,0
2022-08-02,veoride,bd251c37-ecc5-4cf4-bc14-421bf18159f5,Rest of Indianapolis,0,0,0,0,0,0
2022-08-03,bird,9c7539a9-80df-4ee3-9128-98d560c5269a,Access Zone,108.88,106.46,0.45,0.33,0,1.63
2022-08-03,bird,NOT_IN_SHAPE,NOT_IN_SHAPE,0,0,0,0,0,0
2022-08-03,bird,aa7d5aa5-608c-4eec-b4de-20e76b931fad,High Utilization Zone,627.35,617.28,6.41,0.92,0.01,2.73
2022-08-03,bird,bd251c37-ecc5-4cf4-bc14-421bf18159f5,Rest of Indianapolis,325.07,321.21,2.35,0.79,0.01,0.71
2022-08-03,lime,9c7539a9-80df-4ee3-9128-98d560c5269a,Access Zone,75.86,64.5,0.69,9.11,1.57,0
2022-08-03,lime,NOT_IN_SHAPE,NOT_IN_SHAPE,0,0,0,0,0,0
2022-08-03,lime,aa7d5aa5-608c-4eec-b4de-20e76b931fad,High Utilization Zone,351.16,322.6,8.11,11.45,8.99,0
